id_componente,nombre,categoria,vida_util_km,costo_reemplazo,descripcion,estatus
1,Motor,Motor,74944,16424.12,Componente correspondiente a Motor,Activo
2,Alternador,Sistema eléctrico,124755,17698.19,Componente correspondiente a Sistema eléctrico,Activo
3,Batería,Sistema eléctrico,125191,19996.92,Componente correspondiente a Sistema eléctrico,Activo
4,Pastillas de freno,Frenos,147381,22305.13,Componente correspondiente a Frenos,Activo
5,Discos de freno,Frenos,147035,8780.88,Componente correspondiente a Frenos,Activo
6,Neumáticos,Suspensión,51614,9701.78,Componente correspondiente a Suspensión,Activo
7,Amortiguadores,Suspensión,105393,2802.56,Componente correspondiente a Suspensión,Activo
8,Radiador,Motor,107740,14667.86,Componente correspondiente a Motor,Activo
9,Bomba de agua,Motor,84158,1380.59,Componente correspondiente a Motor,Activo
10,Bomba de combustible,Combustible,111558,11907.15,Componente correspondiente a Combustible,Activo
11,Inyectores,Combustible,117156,13794.79,Componente correspondiente a Combustible,Activo
12,Filtro de aire,Motor,98700,7520.26,Componente correspondiente a Motor,Activo
13,Filtro de combustible,Combustible,23727,14975.41,Componente correspondiente a Combustible,Activo
14,Clutch,Transmisión,97726,1247.26,Componente correspondiente a Transmisión,Activo
15,Caja de cambios,Transmisión,27278,1415.03,Componente correspondiente a Transmisión,Activo
16,Banda de distribución,Motor,96426,20653.71,Componente correspondiente a Motor,Activo
17,Sensor de temperatura,Sensores,34774,9324.67,Componente correspondiente a Sensores,Activo
18,Sensor de presión,Sensores,111335,3612.98,Componente correspondiente a Sensores,Activo
19,Luces,Sistema eléctrico,84487,13294.96,Componente correspondiente a Sistema eléctrico,Activo
20,Sistema de escape,Escape,76059,19364.84,Componente correspondiente a Escape,Activo
