id_mantenimiento,id_vehiculo,id_componente,fecha_mantenimiento,kilometraje_mantenimiento,tipo_mantenimiento,categoria_componente,componente,severidad,causa_falla,solucion,horas_fuera_servicio,costo_repuesto,costo_mano_obra,costo_total,estado
M00001,1,4,2025-04-22,237402.0,Preventivo,Frenos,Pastillas de freno,Crítica,Desgaste por uso,Lubricación,61,16162.28,2891,19053.28,Pendiente
M00002,1,13,2025-06-04,184464.0,Correctivo,Combustible,Filtro de combustible,Alta,Obstrucción,Ajuste y calibración,28,12054.4,521,12575.4,Completado
M00003,1,15,2025-09-02,179021.0,Preventivo,Transmisión,Caja de cambios,Media,Sobrecalentamiento,Ajuste del componente,6,552.96,689,1241.96,Completado
M00004,1,20,2025-10-05,169079.0,Correctivo,Escape,Sistema de escape,Baja,Falla eléctrica,Reparación del componente,3,17803.39,1146,18949.39,Pendiente
M00005,1,3,2025-11-01,164202.0,Preventivo,Sistema eléctrico,Batería,Media,Falla mecánica,Lubricación,8,9740.02,2541,12281.02,Pendiente
M00006,1,18,2025-11-06,189616.0,Correctivo,Sensores,Sensor de presión,Media,Falla eléctrica,Reemplazo del componente,6,4997.61,3056,8053.61,Pendiente
M00007,1,2,2025-12-05,171614.0,Preventivo,Sistema eléctrico,Alternador,Media,Falla mecánica,Revisión general,9,10548.47,3113,13661.47,Completado
M00008,1,8,2026-01-02,172474.0,Preventivo,Motor,Radiador,Baja,Desgaste interno,Ajuste del componente,2,11040.09,701,11741.09,Completado
M00009,1,4,2026-02-19,164106.0,Emergencia,Frenos,Pastillas de freno,Alta,Desgaste por uso,Reemplazo del componente,24,41554.23,1378,42932.23,Completado
M00010,1,8,2026-07-12,197397.0,Correctivo,Motor,Radiador,Baja,Desgaste por kilometraje,Ajuste y calibración,4,19663.31,3068,22731.31,Completado
M00011,1,4,2026-07-29,225505.0,Preventivo,Frenos,Pastillas de freno,Media,Pérdida de presión,Ajuste del componente,12,17104.36,2296,19400.36,Completado
M00012,2,20,2018-10-29,24020.0,Preventivo,Escape,Sistema de escape,Baja,Falla mecánica,Inspección y ajuste,4,8535.51,1984,10519.51,Pendiente
M00013,2,12,2019-01-30,0.0,Correctivo,Motor,Filtro de aire,Media,Fuga de aceite,Cambio de pieza dañada,7,8176.54,2778,10954.54,Pendiente
M00014,2,20,2019-06-21,25140.0,Preventivo,Escape,Sistema de escape,Media,Falla mecánica,Revisión general,12,12218.43,3125,15343.43,Completado
M00015,2,20,2019-08-31,0.0,Correctivo,Escape,Sistema de escape,Media,Mantenimiento preventivo,Corrección de falla,10,27590.86,1863,29453.86,Completado
M00016,2,4,2019-09-17,0.0,Emergencia,Frenos,Pastillas de freno,Baja,Desgaste de pastillas,Ajuste y calibración,1,41362.9,3180,44542.9,Completado
M00017,2,15,2020-11-08,0.0,Emergencia,Transmisión,Caja de cambios,Media,Desgaste por kilometraje,Reemplazo del componente,9,2080.22,1757,3837.22,Pendiente
M00018,2,4,2021-05-13,8086.0,Preventivo,Frenos,Pastillas de freno,Crítica,Desgaste de pastillas,Lubricación,62,10284.77,1063,11347.77,Completado
M00019,2,8,2023-07-03,0.0,Preventivo,Motor,Radiador,Alta,Desgaste por kilometraje,Ajuste del componente,13,9157.2,1198,10355.2,Completado
M00020,2,17,2023-07-28,722.0,Correctivo,Sensores,Sensor de temperatura,Baja,Desgaste por uso,Corrección de falla,2,10925.29,1653,12578.29,Completado
M00021,2,8,2023-12-20,22097.0,Preventivo,Motor,Radiador,Media,Desgaste por kilometraje,Lubricación,7,7561.32,793,8354.32,Completado
M00022,2,11,2026-04-20,0.0,Emergencia,Combustible,Inyectores,Media,Obstrucción,Corrección de falla,6,22162.14,1647,23809.14,Pendiente
M00023,2,1,2026-05-03,12685.0,Preventivo,Motor,Motor,Media,Sobrecalentamiento,Ajuste del componente,10,7422.44,2034,9456.44,Completado
M00024,2,14,2026-05-05,45637.0,Preventivo,Transmisión,Clutch,Baja,Desgaste por kilometraje,Lubricación,3,553.89,3020,3573.89,Completado
M00025,3,14,2021-08-23,137295.0,Preventivo,Transmisión,Clutch,Baja,Desgaste de engranajes,Inspección y ajuste,4,911.74,3363,4274.74,Pendiente
M00026,3,9,2022-01-15,147226.0,Correctivo,Motor,Bomba de agua,Media,Desgaste por kilometraje,Ajuste y calibración,7,1972.85,1943,3915.85,Pendiente
M00027,3,8,2022-02-07,177737.0,Emergencia,Motor,Radiador,Baja,Sobrecalentamiento,Reparación del componente,2,20933.04,2384,23317.04,Completado
M00028,3,12,2022-06-23,67641.0,Emergencia,Motor,Filtro de aire,Media,Fuga de aceite,Corrección de falla,8,9133.06,660,9793.06,Pendiente
M00029,3,8,2023-04-07,109846.0,Preventivo,Motor,Radiador,Baja,Desgaste por kilometraje,Revisión general,3,7560.87,1454,9014.87,Completado
M00030,3,12,2024-01-10,130560.0,Emergencia,Motor,Filtro de aire,Media,Sobrecalentamiento,Cambio de pieza dañada,4,12905.39,1297,14202.39,Pendiente
M00031,3,16,2024-06-17,76991.0,Correctivo,Motor,Banda de distribución,Media,Desgaste interno,Corrección de falla,4,25854.95,1715,27569.95,Pendiente
M00032,3,9,2024-10-19,136412.0,Emergencia,Motor,Bomba de agua,Alta,Fuga de aceite,Cambio de pieza dañada,16,2482.54,2646,5128.54,Completado
M00033,3,18,2025-01-13,62079.0,Emergencia,Sensores,Sensor de presión,Alta,Falla eléctrica,Ajuste y calibración,12,6801.1,1199,8000.1,Pendiente
M00034,3,16,2025-03-02,156844.0,Preventivo,Motor,Banda de distribución,Baja,Falta de lubricación,Lubricación,2,15872.53,1069,16941.53,Pendiente
M00035,3,3,2025-10-06,97863.0,Emergencia,Sistema eléctrico,Batería,Baja,Falla eléctrica,Reemplazo del componente,1,38032.11,3037,41069.11,Completado
M00036,4,18,2022-03-17,49995.0,Correctivo,Sensores,Sensor de presión,Baja,Falla mecánica,Reparación del componente,1,2981.29,2482,5463.29,Completado
M00037,4,2,2022-05-24,5352.0,Emergencia,Sistema eléctrico,Alternador,Alta,Falla mecánica,Ajuste y calibración,21,21669.67,3117,24786.67,Pendiente
M00038,4,15,2022-09-15,57910.0,Correctivo,Transmisión,Caja de cambios,Baja,Fuga de aceite,Cambio de pieza dañada,2,1584.95,504,2088.95,Pendiente
M00039,4,3,2022-11-05,0.0,Correctivo,Sistema eléctrico,Batería,Crítica,Falla eléctrica,Cambio de pieza dañada,39,17934.18,3370,21304.18,Completado
M00040,4,10,2022-12-03,0.0,Correctivo,Combustible,Bomba de combustible,Baja,Desgaste de bomba,Reparación del componente,4,11783.11,619,12402.11,Completado
M00041,4,11,2023-02-24,52653.0,Preventivo,Combustible,Inyectores,Alta,Fuga,Ajuste del componente,20,10017.65,2353,12370.65,Completado
M00042,4,1,2023-07-18,44065.0,Preventivo,Motor,Motor,Baja,Falta de lubricación,Inspección y ajuste,2,7520.68,3349,10869.68,Pendiente
M00043,4,10,2023-08-01,57618.0,Correctivo,Combustible,Bomba de combustible,Alta,Obstrucción,Cambio de pieza dañada,16,15676.09,1712,17388.09,Completado
M00044,4,16,2023-12-21,0.0,Preventivo,Motor,Banda de distribución,Media,Falta de lubricación,Inspección y ajuste,8,8345.63,1496,9841.63,Completado
M00045,4,13,2024-01-16,31837.0,Emergencia,Combustible,Filtro de combustible,Crítica,Falla de inyector,Cambio de pieza dañada,49,18176.09,1727,19903.09,Completado
M00046,4,2,2024-08-07,1860.0,Correctivo,Sistema eléctrico,Alternador,Baja,Falla mecánica,Cambio de pieza dañada,2,19095.52,856,19951.52,Pendiente
M00047,4,11,2024-11-30,37672.0,Preventivo,Combustible,Inyectores,Media,Fuga,Revisión general,11,7938.46,2989,10927.46,Completado
M00048,4,2,2024-12-18,11846.0,Correctivo,Sistema eléctrico,Alternador,Baja,Desgaste por uso,Corrección de falla,4,22042.79,1395,23437.79,Completado
M00049,4,15,2025-05-25,56961.0,Preventivo,Transmisión,Caja de cambios,Media,Desgaste por kilometraje,Ajuste del componente,8,842.69,1456,2298.69,Completado
M00050,4,16,2025-06-21,0.0,Preventivo,Motor,Banda de distribución,Baja,Falta de lubricación,Lubricación,3,7873.45,784,8657.45,Completado
M00051,5,2,2023-02-25,78484.0,Preventivo,Sistema eléctrico,Alternador,Crítica,Falla mecánica,Cambio preventivo,68,10144.9,1116,11260.9,Completado
M00052,5,7,2023-11-18,46858.0,Correctivo,Suspensión,Amortiguadores,Baja,Holgura,Reemplazo del componente,1,3317.05,3308,6625.05,Pendiente
M00053,5,1,2024-03-07,49943.0,Preventivo,Motor,Motor,Baja,Sobrecalentamiento,Revisión general,3,8497.97,2071,10568.97,Pendiente
M00054,5,4,2024-05-31,67492.0,Preventivo,Frenos,Pastillas de freno,Alta,Desgaste de pastillas,Ajuste del componente,28,11598.18,1372,12970.18,Pendiente
M00055,5,5,2026-04-10,69708.0,Preventivo,Frenos,Discos de freno,Crítica,Desgaste por uso,Cambio preventivo,64,3284.65,2724,6008.65,Pendiente
M00056,5,6,2026-05-03,81844.0,Preventivo,Suspensión,Neumáticos,Media,Desgaste de bujes,Cambio preventivo,8,3759.23,1890,5649.23,Pendiente
M00057,5,4,2026-06-14,48434.0,Preventivo,Frenos,Pastillas de freno,Media,Pérdida de presión,Lubricación,8,15732.44,1667,17399.44,Completado
M00058,6,17,2022-01-27,0.0,Preventivo,Sensores,Sensor de temperatura,Baja,Falla mecánica,Revisión general,1,3878.8,3181,7059.8,Completado
M00059,6,3,2022-07-20,0.0,Preventivo,Sistema eléctrico,Batería,Alta,Desgaste por uso,Inspección y ajuste,18,9128.76,999,10127.76,Completado
M00060,6,15,2023-07-27,23609.0,Correctivo,Transmisión,Caja de cambios,Media,Sobrecalentamiento,Ajuste y calibración,9,1901.8,2310,4211.8,Completado
M00061,6,7,2023-09-24,0.0,Preventivo,Suspensión,Amortiguadores,Media,Golpe por irregularidad del camino,Ajuste del componente,7,1491.92,1152,2643.92,Pendiente
M00062,6,13,2023-11-01,4181.0,Correctivo,Combustible,Filtro de combustible,Baja,Obstrucción,Corrección de falla,1,14470.06,2496,16966.06,Completado
M00063,6,16,2024-06-13,0.0,Preventivo,Motor,Banda de distribución,Baja,Fuga de aceite,Revisión general,4,7341.76,2605,9946.76,Completado
M00064,6,10,2024-06-30,0.0,Correctivo,Combustible,Bomba de combustible,Crítica,Contaminación,Ajuste y calibración,58,10140.81,3311,13451.81,Pendiente
M00065,6,11,2024-12-10,0.0,Preventivo,Combustible,Inyectores,Baja,Obstrucción,Revisión general,1,6656.29,2049,8705.29,Completado
M00066,6,2,2025-05-01,2049.0,Emergencia,Sistema eléctrico,Alternador,Media,Mantenimiento preventivo,Corrección de falla,11,34811.67,1535,36346.67,Pendiente
M00067,6,9,2025-07-15,0.0,Correctivo,Motor,Bomba de agua,Alta,Falta de lubricación,Corrección de falla,29,1552.6,3223,4775.6,Pendiente
M00068,6,17,2026-03-29,23320.0,Correctivo,Sensores,Sensor de temperatura,Baja,Mantenimiento preventivo,Reemplazo del componente,1,12016.83,2446,14462.83,Completado
M00069,7,15,2019-03-06,147452.0,Preventivo,Transmisión,Caja de cambios,Media,Fuga de aceite,Lubricación,11,761.58,2444,3205.58,Completado
M00070,7,7,2019-05-31,136629.0,Correctivo,Suspensión,Amortiguadores,Alta,Desgaste por uso,Ajuste y calibración,28,4178.88,2693,6871.88,Completado
M00071,7,5,2020-02-11,125968.0,Preventivo,Frenos,Discos de freno,Baja,Pérdida de presión,Inspección y ajuste,2,6385.88,1188,7573.88,Completado
M00072,7,13,2020-05-13,180058.0,Preventivo,Combustible,Filtro de combustible,Alta,Falla de inyector,Cambio preventivo,17,11978.43,3256,15234.43,Completado
M00073,7,3,2020-11-12,193633.0,Correctivo,Sistema eléctrico,Batería,Alta,Desgaste por uso,Reemplazo del componente,25,19459.88,582,20041.88,Completado
M00074,7,1,2021-11-07,181342.0,Preventivo,Motor,Motor,Media,Fuga de aceite,Lubricación,11,12239.24,1969,14208.24,Pendiente
M00075,7,19,2023-11-21,136565.0,Preventivo,Sistema eléctrico,Luces,Baja,Falla mecánica,Ajuste del componente,2,9627.11,2665,12292.11,Completado
M00076,7,12,2024-02-13,174157.0,Emergencia,Motor,Filtro de aire,Media,Fuga de aceite,Cambio de pieza dañada,10,11451.75,1262,12713.75,Completado
M00077,7,15,2024-06-25,144760.0,Emergencia,Transmisión,Caja de cambios,Baja,Desgaste de engranajes,Reparación del componente,4,1852.41,2650,4502.41,Completado
M00078,8,20,2023-08-02,0.0,Preventivo,Escape,Sistema de escape,Media,Falla mecánica,Lubricación,7,15051.99,2628,17679.99,Pendiente
M00079,8,7,2023-11-27,1185.0,Preventivo,Suspensión,Amortiguadores,Baja,Desgaste por uso,Revisión general,2,1559.94,2375,3934.94,Completado
M00080,8,18,2024-05-07,9133.0,Correctivo,Sensores,Sensor de presión,Crítica,Falla eléctrica,Ajuste y calibración,46,4249.17,2406,6655.17,Completado
M00081,8,8,2025-09-24,0.0,Correctivo,Motor,Radiador,Media,Desgaste por kilometraje,Cambio de pieza dañada,5,18588.44,1166,19754.44,Completado
