id_vehiculo,numero_economico,placas,marca,modelo,anio,tipo,tipo_combustible,capacidad_toneladas,kilometraje_actual,rendimiento_km_l,consumo_promedio,fecha_adquisicion,ultima_revision,proxima_revision,nivel_riesgo,estatus
1,V-001,ABC-101,Volkswagen,2025,2025,Van,Gasolina,1.75,238171.43,10.36,24.16,2025-01-01,2026-03-08,2026-09-26,Bajo,En ruta
2,V-002,ABC-102,Nissan,2018,2018,Tráiler,Diesel,17.34,47438.68,4.96,31.39,2018-01-01,2026-01-22,2026-08-31,Medio,Mantenimiento
3,V-003,ABC-103,Kenworth,2021,2021,Tráiler,Diesel,24.02,179937.42,4.66,34.19,2021-01-01,2026-06-15,2026-11-03,Medio,Disponible
4,V-004,ABC-104,Isuzu,2022,2022,Camioneta,Gasolina,1.8,60961.39,5.95,12.95,2022-01-01,2026-06-27,2026-09-01,Bajo,En ruta
5,V-005,ABC-105,Isuzu,2023,2023,Torton,Diesel,10.13,135941.54,7.96,15.86,2023-01-01,2026-07-10,2026-11-18,Bajo,En ruta
6,V-006,ABC-106,Mercedes-Benz,2022,2022,Torton,Diesel,12.28,43478.53,6.84,17.89,2022-01-01,2026-03-06,2026-08-29,Bajo,Disponible
7,V-007,ABC-107,Toyota,2019,2019,Camión,Diesel,5.82,198442.23,6.1,21.88,2019-01-01,2026-02-19,2026-08-25,Medio,En ruta
8,V-008,ABC-108,Chevrolet,2022,2022,Tráiler,Diesel,23.89,21148.1,9.36,12.6,2022-01-01,2026-02-19,2026-09-14,Bajo,En ruta
9,V-009,ABC-109,Toyota,2022,2022,Van,Gasolina,1.13,237732.53,12.23,29.83,2022-01-01,2026-03-12,2026-07-12,Bajo,En ruta
10,V-010,ABC-110,Ford,2025,2025,Van,Gasolina,1.61,33441.31,9.97,19.88,2025-01-01,2026-05-27,2026-09-11,Medio,Mantenimiento
11,V-011,ABC-111,Toyota,2023,2023,Torton,Diesel,8.85,128842.46,4.78,32.55,2023-01-01,2026-01-14,2026-09-03,Medio,Disponible
12,V-012,ABC-112,Chevrolet,2024,2024,Camioneta,Gasolina,1.11,169005.35,6.99,22.04,2024-01-01,2026-05-28,2026-12-09,Bajo,Disponible
13,V-013,ABC-113,Nissan,2022,2022,Van,Gasolina,2.09,54365.07,12.26,28.93,2022-01-01,2026-01-31,2026-11-20,Medio,Disponible
14,V-014,ABC-114,Kenworth,2024,2024,Tráiler,Diesel,29.09,224758.56,9.28,32.89,2024-01-01,2026-04-24,2026-09-15,Alto,Mantenimiento
