id_entrega,id_cliente,id_vehiculo,id_operador,id_ruta,fecha_salida,hora_salida,fecha_entrega_programada,hora_entrega_programada,fecha_entrega_real,hora_entrega_real,peso_carga,cantidad_paquetes,distancia_real_km,combustible_consumido_litros,precio_combustible,costo_envio,costo_combustible,costo_total,minutos_retraso,entrega_tardia,estatus,observaciones
1,93,39,56,10,2026-03-27,07:37:00,2026-03-27,10:02:00,2026-03-27,10:02:00,2.0,19,85.03,6.86,24.24,1277.15,166.29,1443.44,0,False,Entregada,Entrega realizada en tiempo
2,84,26,9,39,2026-07-01,07:19:00,2026-07-01,15:42:00,2026-07-01,15:42:00,1.44,72,196.02,27.96,26.17,2200.1,731.71,2931.81,0,False,Entregada,Entrega realizada en tiempo
3,17,34,6,42,2026-06-21,16:32:00,2026-06-21,19:43:00,2026-06-21,20:17:00,4.56,47,98.28,8.16,26.8,1823.4,218.69,2042.09,34,True,Tardía,Tráfico alto
4,44,32,13,15,2026-02-05,08:04:00,2026-02-05,10:27:00,2026-02-05,10:27:00,3.05,38,65.75,5.96,23.4,1437.75,139.46,1577.21,0,False,Entregada,Entrega realizada en tiempo
5,99,35,54,48,2026-08-15,19:02:00,2026-08-15,00:15:00,2026-08-16,00:15:00,1.32,44,183.88,24.82,25.47,1903.4,632.17,2535.57,0,False,Entregada,Entrega realizada en tiempo
6,77,25,10,11,2026-02-16,09:46:00,2026-02-16,12:32:00,2026-02-16,13:05:00,3.71,57,76.29,16.23,26.88,1708.45,436.26,2144.71,33,True,Tardía,Hora pico
7,79,19,49,48,2026-07-20,17:14:00,2026-07-20,22:27:00,2026-07-20,23:24:00,2.21,69,181.18,17.85,25.71,2178.9,458.92,2637.82,57,True,Tardía,"Tráfico alto, Hora pico"
8,74,29,30,50,2026-03-14,15:32:00,2026-03-14,23:32:00,2026-03-14,23:32:00,2.34,68,229.1,23.94,23.65,2423.5,566.18,2989.68,0,False,Entregada,Entrega realizada en tiempo
9,26,39,9,17,2026-01-14,18:55:00,2026-01-14,01:13:00,2026-01-15,01:13:00,8.25,48,190.1,15.34,23.41,2659.5,359.11,3018.61,0,False,Entregada,Entrega realizada en tiempo
10,67,8,19,6,2026-07-15,09:17:00,2026-07-15,10:11:00,2026-07-15,10:11:00,4.27,58,27.99,2.99,23.59,1530.95,70.53,1601.48,0,False,Entregada,Entrega realizada en tiempo
11,56,6,59,15,2026-07-29,17:56:00,2026-07-29,20:19:00,2026-07-29,20:19:00,0.42,45,58.91,8.61,24.66,1196.55,212.32,1408.87,0,False,Entregada,Entrega realizada en tiempo
12,51,33,24,16,2026-04-09,07:23:00,2026-04-09,21:51:00,2026-04-09,22:44:00,0.39,29,431.55,55.04,26.17,2928.75,1440.4,4369.15,53,True,Tardía,"Hora pico, Distancia larga"
13,18,3,19,31,2026-06-28,08:48:00,2026-06-28,16:20:00,2026-06-28,16:20:00,8.35,61,204.54,43.89,23.02,2845.7,1010.35,3856.05,0,False,Entregada,Entrega realizada en tiempo
14,11,2,17,14,2026-08-02,08:35:00,2026-08-02,17:20:00,2026-08-02,17:20:00,4.76,78,295.22,59.52,23.44,3076.1,1395.15,4471.25,0,False,Entregada,Entrega realizada en tiempo
15,37,16,20,8,2026-01-13,10:26:00,2026-01-13,13:54:00,2026-01-13,13:54:00,14.65,80,100.76,9.05,23.44,3108.8,212.13,3320.93,0,False,Entregada,Entrega realizada en tiempo
