causa_falla,cantidad,vehiculos_afectados,costo_total,horas_fuera_servicio,porcentaje
Desgaste por uso,30,23,589885.35,471,12.931034482758621
Falla eléctrica,26,18,542496.24,379,11.206896551724139
Sobrecalentamiento,21,16,259871.95,206,9.051724137931034
Mantenimiento preventivo,18,13,427889.46,228,7.758620689655173
Fuga de aceite,17,14,164761.88,254,7.327586206896551
Desgaste por kilometraje,16,14,181407.35,208,6.896551724137931
Falla mecánica,11,7,243593.34,84,4.741379310344827
Falta de lubricación,10,10,174413.43,211,4.310344827586207
Obstrucción,9,9,170306.73,122,3.8793103448275863
Desgaste interno,9,7,144128.1,249,3.8793103448275863
Desgaste de bujes,8,8,82703.5,79,3.4482758620689653
Fuga,7,6,144230.91,115,3.0172413793103448
Contaminación,6,6,114753.12,128,2.586206896551724
Golpe por irregularidad del camino,6,5,78461.04999999999,14,2.586206896551724
Desgaste de discos,6,4,129153.93,76,2.586206896551724
Falla de inyector,6,6,125335.26000000001,108,2.586206896551724
Holgura,5,4,67734.65,24,2.1551724137931036
Desgaste de bomba,5,5,79542.46,104,2.1551724137931036
Fuga de líquido,5,5,126895.06,25,2.1551724137931036
Desgaste de pastillas,4,4,97691.95999999999,142,1.7241379310344827
Desgaste de engranajes,3,3,13920.24,53,1.293103448275862
Fatiga del componente,2,2,9600.84,34,0.8620689655172413
Pérdida de presión,2,2,58057.0,29,0.8620689655172413
