id_vehiculo,mantenimientos,costo_repuesto,costo_mano_obra,costo_total,porcentaje_costo
36,15,198780.2,31757,230537.2,3.9487602685393086
17,13,202229.48,23843,226072.47999999998,3.8722862376837552
27,13,199145.97,25967,225112.97,3.8558512546733508
26,14,189367.15,25703,215070.15,3.6838326450949745
9,15,179858.04,33148,213006.04,3.648477502593485
4,15,173482.25,28209,201691.25,3.454671933692388
29,15,164398.35,32121,196519.35,3.36608495843261
2,13,168031.51,26095,194126.51,3.3250991586529146
25,13,164086.4,29913,193999.4,3.322921952901591
35,12,165600.03,25198,190798.03,3.26808723355524
1,11,161221.12,21400,182621.12,3.128028894478415
38,11,152327.34,25309,177636.34,3.0426470072540996
20,11,157202.6,17873,175075.6,2.998785329528946
16,13,146732.52,27304,174036.52,2.9809874304487374
14,12,146173.96,23366,169539.96,2.903968027623063
22,12,142439.44,26221,168660.44,2.888903154659456
24,12,145470.52,20335,165805.52,2.840002609906339
3,11,142460.18,20767,163227.18,2.795839470288153
12,15,117575.8,37311,154886.8,2.652981132594627
21,13,122296.3,30409,152705.3,2.6156152735236464
15,13,123760.04,27679,151439.04,2.593926118030995
30,11,131051.73999999999,18933,149984.74,2.569016116267562
32,10,120933.02,22380,143313.02,2.454739449166465
19,9,121447.14,14448,135895.13999999998,2.327682168082144
31,10,110136.41,20077,130213.41,2.2303625611789295
6,11,103391.29999999999,25307,128698.29999999999,2.204410974318038
11,10,105466.87,20466,125932.87,2.157043260519889
40,12,94775.54,29288,124063.54000000001,2.1250244104913967
13,13,80167.84,25163,105330.84,1.8041610466504792
37,10,77890.03,27052,104942.03,1.7975013080919704
33,10,78825.95,21028,99853.95,1.7103500450977571
10,6,85082.68,14547,99629.68,1.706508632668764
7,9,77935.16,18709,96644.16,1.6553711036412166
23,7,64815.76999999999,15193,80008.76999999999,1.3704315490545549
39,8,62650.03999999999,14637,77287.04000000001,1.323812351433991
5,7,56334.42,14148,70482.42,1.2072593044701694
18,5,59338.56,9492,68830.56,1.178965392957453
34,6,49797.14,12128,61925.14,1.0606857915153574
8,6,47360.58,13457,60817.58,1.0417149316149883
28,5,41543.78,10253,51796.78,0.8872020086227795
