id_componente,componente,categoria_componente,mantenimientos,fallas,emergencias,vehiculos_afectados,costo_total,horas_fuera_servicio,porcentaje_fallas,porcentaje_costo
13,Filtro de combustible,Combustible,29,17,4,20,468897.54,497,7.327586206896551,8.031519320820331
20,Sistema de escape,Escape,28,17,5,22,618382.37,264,7.327586206896551,10.59197272032962
2,Alternador,Sistema eléctrico,28,16,6,22,555518.55,304,6.896551724137931,9.51520873280567
3,Batería,Sistema eléctrico,23,15,6,18,530631.34,326,6.4655172413793105,9.088927741959965
7,Amortiguadores,Suspensión,24,15,4,20,114915.15000000001,334,6.4655172413793105,1.9683260600598729
12,Filtro de aire,Motor,19,13,8,18,195638.52,316,5.603448275862069,3.350997647112192
15,Caja de cambios,Transmisión,25,13,4,18,83445.85,325,5.603448275862069,1.4293036310603706
4,Pastillas de freno,Frenos,24,12,5,17,592276.91,383,5.172413793103448,10.14482491407561
8,Radiador,Motor,23,12,3,16,358234.14,406,5.172413793103448,6.136019431425159
14,Clutch,Transmisión,22,12,3,19,83576.2,246,5.172413793103448,1.4315363332056386
17,Sensor de temperatura,Sensores,25,12,4,18,265560.37,361,5.172413793103448,4.548655219004126
6,Neumáticos,Suspensión,17,11,5,13,230596.72,161,4.741379310344827,3.949779757850289
9,Bomba de agua,Motor,18,11,6,15,60470.62,235,4.741379310344827,1.0357720214782624
10,Bomba de combustible,Combustible,18,10,0,14,230462.94999999998,317,4.310344827586207,3.947488476178079
18,Sensor de presión,Sensores,21,9,3,18,115916.6,352,3.8793103448275863,1.985479413058559
5,Discos de freno,Frenos,19,9,3,17,188931.35,436,3.8793103448275863,3.2361137740958688
1,Motor,Motor,19,8,2,16,294397.46,211,3.4482758620689653,5.042591795193532
16,Banda de distribución,Motor,20,7,3,16,372264.49,323,3.0172413793103448,6.376338514999091
19,Luces,Sistema eléctrico,20,7,2,17,248896.16999999998,158,3.0172413793103448,4.263222191852791
11,Inyectores,Combustible,15,6,3,12,229203.87,193,2.586206896551724,3.9259223034349713
