variable,importancia
numericas__hora_salida_num,0.2549943818319548
numericas__distancia_real_km,0.22002295266372696
numericas__precio_combustible,0.09602973862233762
numericas__peso_carga,0.08847377355424386
numericas__cantidad_paquetes,0.0789824706917788
numericas__fecha_salida_dia,0.07516587274301183
numericas__costo_envio,0.07327429637084605
numericas__fecha_salida_semana,0.052192451238992424
numericas__fecha_salida_dia_semana,0.03645772800490251
numericas__fecha_salida_mes,0.01132793080081201
categoricas__tipo_combustible_Diesel,0.004128371612270345
numericas__fecha_salida_trimestre,0.0031542016961080424
numericas__fecha_salida_fin_semana,0.002926833693259781
categoricas__tipo_combustible_Gasolina,0.0028689964757550885
numericas__fecha_salida_anio,0.0
