real,prediccion,probabilidad_tardia,resultado,nivel_riesgo
1,1,0.5555845251205586,Tardía,Medio
0,1,0.5605454207524482,Tardía,Medio
1,1,0.5840039920503171,Tardía,Medio
0,0,0.4878156527997817,A tiempo,Medio
0,1,0.5199253725275268,Tardía,Medio
0,0,0.34009870317624247,A tiempo,Medio
0,0,0.4800041291615384,A tiempo,Medio
1,1,0.6106136332534683,Tardía,Alto
0,0,0.35098846667082634,A tiempo,Medio
1,0,0.3815904411737323,A tiempo,Medio
1,0,0.46584867315864154,A tiempo,Medio
0,0,0.3459143600104489,A tiempo,Medio
0,1,0.535976297669326,Tardía,Medio
1,0,0.4904886024678006,A tiempo,Medio
0,1,0.5333897547050596,Tardía,Medio
0,1,0.5418482529552134,Tardía,Medio
1,1,0.5971880033883292,Tardía,Medio
0,0,0.4081952979403419,A tiempo,Medio
0,1,0.5520419254473352,Tardía,Medio
0,0,0.3895224619084879,A tiempo,Medio
0,1,0.524607233109686,Tardía,Medio
0,0,0.4533456306368424,A tiempo,Medio
1,1,0.506305805253093,Tardía,Medio
0,1,0.5753891389797662,Tardía,Medio
0,0,0.4939493841522671,A tiempo,Medio
0,1,0.5114124213305257,Tardía,Medio
1,1,0.5901442075570362,Tardía,Medio
0,0,0.48568612885329066,A tiempo,Medio
0,1,0.5125486660343236,Tardía,Medio
0,0,0.44735302149126976,A tiempo,Medio
0,1,0.5980870819532873,Tardía,Medio
0,1,0.561982698469534,Tardía,Medio
1,0,0.4345095005276359,A tiempo,Medio
0,0,0.4622827596076657,A tiempo,Medio
0,1,0.5816213100190529,Tardía,Medio
1,0,0.40734790211493643,A tiempo,Medio
0,1,0.6454934382621322,Tardía,Alto
1,0,0.36128113384291877,A tiempo,Medio
1,1,0.5072304919476172,Tardía,Medio
1,1,0.5850457407650443,Tardía,Medio
0,0,0.41195604980573136,A tiempo,Medio
0,0,0.4924141361391437,A tiempo,Medio
0,0,0.36927630185984134,A tiempo,Medio
0,1,0.5726627579117755,Tardía,Medio
0,0,0.4686056383364288,A tiempo,Medio
0,1,0.6048542485899348,Tardía,Alto
1,1,0.535129842119247,Tardía,Medio
0,1,0.5286566735311135,Tardía,Medio
