real,prediccion_logistic,probabilidad_tardia_logistic,prediccion_random_forest,probabilidad_tardia_random_forest,resultado_logistic,nivel_riesgo_logistic
1,1,0.5554378711368229,1,0.5616167022091756,Tardía,Medio
0,1,0.5612941866560248,0,0.4502571315348526,Tardía,Medio
1,1,0.585459246162354,1,0.5655648633577034,Tardía,Medio
0,0,0.48645790712086523,0,0.4298212601676793,A tiempo,Medio
0,1,0.5195753651692406,0,0.4906002551801707,Tardía,Medio
0,0,0.33936972447787317,0,0.4175972182826303,A tiempo,Medio
0,0,0.4811886638265065,0,0.47423581064753195,A tiempo,Medio
1,1,0.6113855051692687,1,0.61488899812463,Tardía,Alto
0,0,0.3510927755122091,0,0.37217326937935175,A tiempo,Medio
1,0,0.38206770070077545,0,0.3425230046399273,A tiempo,Medio
1,0,0.46445479798733835,0,0.4038908315705658,A tiempo,Medio
0,0,0.34646761995598685,0,0.3447277716691304,A tiempo,Medio
0,1,0.53788490477465,1,0.5427674568438486,Tardía,Medio
1,0,0.49088601163673456,1,0.5950055679854092,A tiempo,Medio
0,1,0.5342064416095059,1,0.5546308078098632,Tardía,Medio
0,1,0.541266973955869,0,0.4787262536044009,Tardía,Medio
1,1,0.5979970921915315,1,0.5453477460025055,Tardía,Medio
0,0,0.4075378324005179,0,0.38603786109104277,A tiempo,Medio
0,1,0.5506985999060147,1,0.5661235462500344,Tardía,Medio
0,0,0.39016149312509923,0,0.3632304767593462,A tiempo,Medio
0,1,0.5238219477403375,1,0.5202656884760016,Tardía,Medio
0,0,0.45397518473902354,0,0.3204424541121929,A tiempo,Medio
1,1,0.505573565856124,1,0.595443166501421,Tardía,Medio
0,1,0.5757827013146526,1,0.6294386086086398,Tardía,Medio
0,0,0.49348647451081606,1,0.5614824880933483,A tiempo,Medio
0,1,0.510085007683577,1,0.5979633991697689,Tardía,Medio
1,1,0.5901571538647317,1,0.626201840433223,Tardía,Medio
0,0,0.4871241496927067,0,0.3711778998955139,A tiempo,Medio
0,1,0.5118939815565224,0,0.45174207358377166,Tardía,Medio
0,0,0.4489730457605894,0,0.3533383058895743,A tiempo,Medio
0,1,0.5966244079175667,1,0.5928718623594232,Tardía,Medio
0,1,0.56137658684681,0,0.4241594126854727,Tardía,Medio
1,0,0.43427181027793194,0,0.3414352269884532,A tiempo,Medio
0,0,0.4631207045134505,1,0.5103086650209332,A tiempo,Medio
0,1,0.5803743346587918,1,0.6068760746914947,Tardía,Medio
1,0,0.4081348496562327,0,0.333331323138176,A tiempo,Medio
0,1,0.6468603675980122,0,0.3820152413634163,Tardía,Alto
1,0,0.3610873777835447,0,0.39040297109045874,A tiempo,Medio
1,1,0.5068063626755629,0,0.47273005635403015,Tardía,Medio
1,1,0.5856384162309919,1,0.5741031602615364,Tardía,Medio
0,0,0.4112497223753994,0,0.4505852843929133,A tiempo,Medio
0,0,0.4909363899386999,0,0.45469634711234447,A tiempo,Medio
0,0,0.37097255147048847,0,0.2762607369440684,A tiempo,Medio
0,1,0.5728145509629698,1,0.585421030219143,Tardía,Medio
0,0,0.4679743234133796,0,0.4094102531253217,A tiempo,Medio
0,1,0.604235552575232,1,0.5363804479098859,Tardía,Alto
1,1,0.5341639878255252,0,0.34497762108893015,Tardía,Medio
0,1,0.5285343890215557,0,0.3110121434058631,Tardía,Medio
1,0,0.47149450806419746,0,0.44902976424366237,A tiempo,Medio
0,0,0.37356019266138535,0,0.3698333257888231,A tiempo,Medio
0,0,0.3439195051606718,0,0.3429460342487088,A tiempo,Medio
1,0,0.42479306524164623,0,0.43254702286172664,A tiempo,Medio
0,0,0.4304345519257884,0,0.3776811355354805,A tiempo,Medio
0,1,0.5760120226021834,0,0.45063305078807114,Tardía,Medio
0,1,0.5124579704220276,0,0.4671301346643949,Tardía,Medio
0,1,0.5429098336727816,1,0.6166258256846794,Tardía,Medio
0,0,0.49072978887402036,0,0.3860691991464334,A tiempo,Medio
0,0,0.35037036592421633,0,0.3154578363971321,A tiempo,Medio
1,1,0.5673186741779442,1,0.6184805419595643,Tardía,Medio
0,0,0.360929149712259,0,0.3542408924646587,A tiempo,Medio
1,1,0.5403848699197145,0,0.44257846314482974,Tardía,Medio
0,1,0.590164252388896,1,0.6594276392517127,Tardía,Medio
0,0,0.42024009293188674,0,0.446560147789503,A tiempo,Medio
0,0,0.4988485819404839,1,0.525046379024868,A tiempo,Medio
0,1,0.6108256357686048,1,0.5496120887166237,Tardía,Alto
0,1,0.5348355270341522,1,0.5528981895539792,Tardía,Medio
0,0,0.3520815472946296,0,0.4119069482782113,A tiempo,Medio
0,0,0.4355861244182902,0,0.32115599504655606,A tiempo,Medio
0,0,0.3984011990284974,0,0.47902144922542517,A tiempo,Medio
0,0,0.4736859417223911,0,0.49258466587667754,A tiempo,Medio
0,0,0.41662769828438284,0,0.394981996292865,A tiempo,Medio
0,0,0.4020113111704832,0,0.36524240909504696,A tiempo,Medio
1,0,0.394450964071356,0,0.3808595237097172,A tiempo,Medio
1,0,0.4735969760537137,0,0.4822666319832716,A tiempo,Medio
0,1,0.5181368552257861,1,0.5824113259827075,Tardía,Medio
0,0,0.4169003772644541,0,0.3550815966286179,A tiempo,Medio
0,1,0.501797792045547,0,0.473294715676541,Tardía,Medio
0,0,0.38676589125696603,0,0.3572641835502756,A tiempo,Medio
0,0,0.4877940054454346,0,0.35127564610749273,A tiempo,Medio
0,0,0.43160996936675045,0,0.3453608824599765,A tiempo,Medio
1,1,0.5542620067435566,1,0.604308749894822,Tardía,Medio
0,0,0.39616092258681235,0,0.37524119036174747,A tiempo,Medio
0,1,0.5965578577250237,1,0.5835895949726637,Tardía,Medio
0,0,0.4326587642782223,1,0.5547328630686578,A tiempo,Medio
0,1,0.5355809452884478,1,0.5557570366012858,Tardía,Medio
1,1,0.5343839354889023,1,0.6216857673282772,Tardía,Medio
0,0,0.45221092202886204,0,0.3969975399717422,A tiempo,Medio
1,1,0.5571007920439971,1,0.591290666447336,Tardía,Medio
0,1,0.5864929091774768,1,0.5477526024116842,Tardía,Medio
0,1,0.5227092293663314,1,0.5897204219472156,Tardía,Medio
1,0,0.4885087410505077,1,0.571437927073013,A tiempo,Medio
0,1,0.5101345347329896,0,0.4105008394178622,Tardía,Medio
1,0,0.4130082453296872,0,0.36400904613858465,A tiempo,Medio
0,0,0.4713423843228716,0,0.4755811411102854,A tiempo,Medio
0,0,0.49587422299016737,1,0.5506223797164733,A tiempo,Medio
0,1,0.658211377789005,1,0.5511679192930958,Tardía,Alto
1,0,0.4419322650022091,0,0.39903356052924016,A tiempo,Medio
0,1,0.5791228649219663,1,0.6157402210858188,Tardía,Medio
1,0,0.44046794135788714,0,0.4225948414559504,A tiempo,Medio
0,1,0.5590688667399296,1,0.5932420594541188,Tardía,Medio
1,1,0.5087507915094167,1,0.601720122298133,Tardía,Medio
1,0,0.4907329444738437,0,0.31619830958982165,A tiempo,Medio
0,1,0.5114645660473109,1,0.5691281056016829,Tardía,Medio
0,0,0.47087228908536427,0,0.3561507951188848,A tiempo,Medio
0,0,0.45270119345524584,0,0.32258975352828906,A tiempo,Medio
0,0,0.4349575101214178,0,0.3772526067565582,A tiempo,Medio
1,1,0.5061539694545903,0,0.3821966221945076,Tardía,Medio
0,1,0.599370632519623,1,0.5896759569433728,Tardía,Medio
0,1,0.5846698655184648,1,0.6065769682350578,Tardía,Medio
1,1,0.5329543808354809,1,0.596743030590673,Tardía,Medio
1,1,0.517874444146797,1,0.5924142801275183,Tardía,Medio
0,1,0.5011952244121313,1,0.5420489952171861,Tardía,Medio
0,1,0.5935034682843144,1,0.5902156394960764,Tardía,Medio
0,0,0.40149759978117905,0,0.43858826194245554,A tiempo,Medio
0,0,0.39247144015449753,0,0.36294173626306486,A tiempo,Medio
0,1,0.5696402406216975,1,0.5776582191599465,Tardía,Medio
0,0,0.37941756626790774,0,0.2647158348168022,A tiempo,Medio
1,1,0.5847223454124593,1,0.5864875598948138,Tardía,Medio
0,0,0.4683458930443799,0,0.3896394309262241,A tiempo,Medio
0,1,0.5110385400597646,0,0.40795832039862295,Tardía,Medio
0,0,0.3416246215545429,0,0.3689521960731232,A tiempo,Medio
0,0,0.34417320108968696,0,0.3853328459060708,A tiempo,Medio
0,0,0.45645228211433186,0,0.45117772740102446,A tiempo,Medio
0,1,0.6030579142791974,0,0.4558630505073796,Tardía,Alto
0,1,0.5436918251245783,1,0.5782284292546277,Tardía,Medio
1,0,0.35539575572424353,0,0.33940734920286175,A tiempo,Medio
0,0,0.3843797935735502,0,0.41350167816427286,A tiempo,Medio
0,1,0.6072219202211305,1,0.5348320191534737,Tardía,Alto
0,1,0.5183963417970452,1,0.5172899453224167,Tardía,Medio
0,1,0.6334908765043666,1,0.5766926529570762,Tardía,Alto
1,1,0.5563425708686703,1,0.5376210704869617,Tardía,Medio
1,1,0.5500443690659499,1,0.6107335316389271,Tardía,Medio
1,1,0.5489099405121705,1,0.6002899006942727,Tardía,Medio
1,1,0.5476026452174378,1,0.6366774350070274,Tardía,Medio
1,0,0.40795584177586336,0,0.3569064319510968,A tiempo,Medio
0,1,0.5750247511703888,0,0.495764573090634,Tardía,Medio
0,0,0.45173781620969206,0,0.35777744957707547,A tiempo,Medio
1,1,0.581374271532047,1,0.5958975359915276,Tardía,Medio
0,1,0.5384524857849569,1,0.5705984329021839,Tardía,Medio
0,0,0.3871143993850435,0,0.45128233824129843,A tiempo,Medio
0,0,0.44686849877277446,0,0.43129505977584076,A tiempo,Medio
1,0,0.340237778676745,0,0.39257798002713656,A tiempo,Medio
0,1,0.5966578210799461,1,0.613712813824782,Tardía,Medio
1,0,0.4134458593339491,0,0.4131985623688624,A tiempo,Medio
1,1,0.5225150203602192,0,0.4012756579230874,Tardía,Medio
0,1,0.5777530163485552,1,0.5749170584255772,Tardía,Medio
0,0,0.362827315490324,0,0.3983144204439839,A tiempo,Medio
0,0,0.4492328675928605,0,0.35681495122517654,A tiempo,Medio
0,0,0.36105542882221564,0,0.35722302446043763,A tiempo,Medio
0,0,0.4516617479232596,0,0.33770271241684413,A tiempo,Medio
0,1,0.6199146121047024,1,0.5828305458096408,Tardía,Alto
0,0,0.38081308885514975,0,0.34751257192889734,A tiempo,Medio
0,0,0.4631259958975454,0,0.43511069033448524,A tiempo,Medio
0,1,0.5569888245272674,0,0.48743818681047885,Tardía,Medio
1,1,0.5715425712431152,1,0.6036429714878405,Tardía,Medio
0,0,0.4211399880050001,0,0.40287595789245834,A tiempo,Medio
0,0,0.47285450243811755,0,0.35934880527702057,A tiempo,Medio
0,0,0.4065075958970607,0,0.4270131129866534,A tiempo,Medio
0,0,0.49479634189504706,0,0.40028396394002486,A tiempo,Medio
1,1,0.5297503079121195,0,0.44140689466005933,Tardía,Medio
1,1,0.5057672090324814,1,0.5830869424626833,Tardía,Medio
0,1,0.5047919490530692,1,0.5982951238507499,Tardía,Medio
0,0,0.39917049016559486,0,0.40935824559078005,A tiempo,Medio
0,1,0.5964542016085791,1,0.6067612809955568,Tardía,Medio
0,0,0.455094172004995,0,0.4375923547604932,A tiempo,Medio
0,0,0.3754506987130205,0,0.40634973648600764,A tiempo,Medio
0,1,0.5986735748267853,1,0.6241180042747124,Tardía,Medio
0,1,0.5800215084828996,0,0.442119391104497,Tardía,Medio
1,1,0.5185409257456363,1,0.621901334084978,Tardía,Medio
0,0,0.46263318035057893,0,0.41230800885738256,A tiempo,Medio
1,0,0.4804665033712657,0,0.454820230844613,A tiempo,Medio
1,0,0.38441125158510087,0,0.40380067598138025,A tiempo,Medio
0,1,0.5819816861884577,1,0.5606252950396371,Tardía,Medio
0,0,0.3720139947532627,0,0.2363773950251192,A tiempo,Medio
0,0,0.4448641327066442,0,0.33403171561872397,A tiempo,Medio
0,0,0.4855898379636515,0,0.4096017858344085,A tiempo,Medio
0,0,0.4515818424001666,0,0.4369545913044536,A tiempo,Medio
0,1,0.5386677367720848,1,0.6252105030991106,Tardía,Medio
0,0,0.4119799935531197,0,0.4186138632459264,A tiempo,Medio
0,1,0.5124801844457739,0,0.49844067420518895,Tardía,Medio
0,1,0.5992696470082345,1,0.5873891205971369,Tardía,Medio
1,0,0.3563617455925901,0,0.35409825017578184,A tiempo,Medio
1,0,0.4025610680399316,0,0.44576751215077903,A tiempo,Medio
1,1,0.5667554802715815,1,0.5787371698993212,Tardía,Medio
0,0,0.3675269144092936,0,0.3871649222345684,A tiempo,Medio
