peso_carga,cantidad_paquetes,distancia_real_km,precio_combustible,costo_envio,fecha_salida_anio,fecha_salida_mes,fecha_salida_dia,fecha_salida_dia_semana,fecha_salida_fin_semana,fecha_salida_semana,fecha_salida_trimestre,hora_salida_num,tipo_combustible,minutos_retraso_real,minutos_retraso_predicho,error_minutos,error_absoluto,nivel_retraso_real,nivel_retraso_predicho
1.96,79,421.29,26.04,3434.45,2026,4,20,0,0,17,2,18.666666666666668,Diesel,0,20.519343250604074,-20.519343250604074,20.519343250604074,Sin retraso,Retraso moderado
8.34,17,202.59,25.66,2482.95,2026,1,13,1,0,3,1,17.616666666666667,Diesel,37,9.633419306548577,27.366580693451425,27.366580693451425,Retraso alto,Retraso leve
1.69,27,239.85,25.14,2084.25,2026,3,4,2,0,10,1,5.516666666666667,Diesel,0,3.697665850938502,-3.697665850938502,3.697665850938502,Sin retraso,Retraso leve
0.59,79,481.05,23.87,3596.25,2026,5,14,3,0,20,2,13.883333333333333,Gasolina,68,10.5156591644088,57.4843408355912,57.4843408355912,Retraso crítico,Retraso leve
5.06,72,415.38,26.61,3658.9,2026,6,6,5,1,23,2,8.866666666666667,Diesel,31,24.540088169956608,6.459911830043392,6.459911830043392,Retraso alto,Retraso moderado
7.04,59,447.97,25.98,3915.85,2026,1,3,5,1,1,1,9.533333333333333,Diesel,103,21.92999973273022,81.07000026726978,81.07000026726978,Retraso crítico,Retraso moderado
5.05,54,66.73,24.87,1770.65,2026,7,6,0,0,28,3,17.783333333333335,Diesel,0,9.109653889602697,-9.109653889602697,9.109653889602697,Sin retraso,Retraso leve
0.55,80,438.89,24.75,3389.45,2026,6,27,5,1,26,2,13.883333333333333,Gasolina,0,6.397960300752946,-6.397960300752946,6.397960300752946,Sin retraso,Retraso leve
0.99,28,201.73,25.32,1831.65,2026,6,1,0,0,23,2,19.25,Diesel,50,10.905896205907288,39.09410379409271,39.09410379409271,Retraso alto,Retraso leve
0.96,47,375.13,25.4,2847.65,2026,7,17,4,0,29,3,5.666666666666667,Gasolina,0,15.52196921192264,-15.52196921192264,15.52196921192264,Sin retraso,Retraso moderado
0.26,13,190.03,24.29,1580.15,2026,4,25,5,1,17,2,16.433333333333334,Gasolina,0,1.7764069422068887,-1.7764069422068887,1.7764069422068887,Sin retraso,Retraso leve
1.77,51,162.11,26.14,1895.55,2026,5,2,5,1,18,2,12.083333333333334,Diesel,0,8.859172927909674,-8.859172927909674,8.859172927909674,Sin retraso,Retraso leve
3.93,55,374.14,24.57,3203.7,2026,6,29,0,0,27,2,10.7,Diesel,23,5.954804073234849,17.045195926765153,17.045195926765153,Retraso moderado,Retraso leve
0.48,66,399.0,25.85,3071.0,2026,7,13,0,0,29,3,5.5,Gasolina,0,15.534475365964699,-15.534475365964699,15.534475365964699,Sin retraso,Retraso moderado
4.71,20,235.53,24.5,2308.65,2026,4,16,3,0,16,2,13.4,Diesel,0,2.2896880597527964,-2.2896880597527964,2.2896880597527964,Sin retraso,Retraso leve
1.48,22,354.78,25.17,2597.9,2026,6,21,6,1,25,2,15.233333333333333,Diesel,0,10.536515351573014,-10.536515351573014,10.536515351573014,Sin retraso,Retraso leve
1.4,70,302.49,23.44,2712.45,2026,2,17,1,0,8,1,10.883333333333333,Gasolina,72,17.24518725101649,54.75481274898351,54.75481274898351,Retraso crítico,Retraso moderado
1.62,7,140.06,25.47,1418.3,2026,3,13,4,0,11,1,9.483333333333333,Diesel,71,8.15590596510192,62.84409403489808,62.84409403489808,Retraso crítico,Retraso leve
0.26,36,110.75,24.36,1367.75,2026,1,12,0,0,3,1,8.45,Gasolina,23,9.569818011312712,13.430181988687288,13.430181988687288,Retraso moderado,Retraso leve
3.48,58,382.19,24.59,3222.95,2026,3,24,1,0,13,1,8.733333333333333,Diesel,64,22.279938819057985,41.72006118094201,41.72006118094201,Retraso crítico,Retraso moderado
1.5,56,305.46,24.8,2625.3,2026,4,25,5,1,17,2,8.966666666666667,Gasolina,56,39.13463223197565,16.86536776802435,16.86536776802435,Retraso alto,Retraso alto
2.83,57,188.06,25.14,2179.3,2026,5,2,5,1,18,2,11.466666666666667,Diesel,0,3.4057772153338393,-3.4057772153338393,3.4057772153338393,Sin retraso,Retraso leve
3.42,57,390.24,26.61,3249.2,2026,5,22,4,0,21,2,13.066666666666666,Diesel,31,8.615377486503478,22.384622513496524,22.384622513496524,Retraso alto,Retraso leve
0.52,18,405.3,25.93,2722.5,2026,2,21,5,1,8,1,9.283333333333333,Diesel,50,31.062920512688244,18.937079487311756,18.937079487311756,Retraso alto,Retraso alto
24.77,69,380.03,25.82,5429.15,2026,2,4,2,0,6,1,9.883333333333333,Diesel,0,21.784010989190033,-21.784010989190033,21.784010989190033,Sin retraso,Retraso moderado
7.88,41,171.34,26.38,2472.7,2026,4,25,5,1,17,2,9.216666666666667,Diesel,0,10.757301356597557,-10.757301356597557,10.757301356597557,Sin retraso,Retraso leve
0.31,68,177.35,26.24,1961.75,2026,3,30,0,0,14,1,12.166666666666666,Diesel,0,3.7871108177982236,-3.7871108177982236,3.7871108177982236,Sin retraso,Retraso leve
1.71,23,147.37,25.14,1591.85,2026,3,9,0,0,11,1,20.6,Diesel,0,4.920926649392673,-4.920926649392673,4.920926649392673,Sin retraso,Retraso leve
16.95,20,22.98,25.8,2469.9,2026,6,6,5,1,23,2,16.05,Diesel,0,7.218656725465592,-7.218656725465592,7.218656725465592,Sin retraso,Retraso leve
0.65,41,269.8,26.01,2242.0,2026,3,15,6,1,11,1,11.566666666666666,Diesel,0,8.60049881237544,-8.60049881237544,8.60049881237544,Sin retraso,Retraso leve
1.13,11,339.26,24.19,2397.3,2026,4,25,5,1,17,2,13.366666666666667,Gasolina,0,7.513181588081518,-7.513181588081518,7.513181588081518,Sin retraso,Retraso leve
0.95,58,337.21,23.06,2745.05,2026,1,29,3,0,5,1,17.65,Gasolina,70,21.406594035224963,48.59340596477504,48.59340596477504,Retraso crítico,Retraso moderado
16.75,12,126.47,26.29,2903.35,2026,8,8,5,1,32,3,8.766666666666667,Diesel,61,10.408771179600809,50.591228820399195,50.591228820399195,Retraso crítico,Retraso leve
1.24,26,124.5,25.12,1454.5,2026,5,22,4,0,21,2,5.516666666666667,Diesel,0,3.7797766198950695,-3.7797766198950695,3.7797766198950695,Sin retraso,Retraso leve
0.74,76,327.37,26.05,2818.85,2026,4,27,0,0,18,2,6.583333333333333,Diesel,0,19.988557415839995,-19.988557415839995,19.988557415839995,Sin retraso,Retraso moderado
0.36,51,344.75,23.02,2667.75,2026,6,10,2,0,24,2,20.483333333333334,Gasolina,0,7.9810185320336675,-7.9810185320336675,7.9810185320336675,Sin retraso,Retraso leve
6.33,5,414.96,25.66,3247.8,2026,5,8,4,0,19,2,8.266666666666667,Diesel,0,16.484436820166128,-16.484436820166128,16.484436820166128,Sin retraso,Retraso moderado
2.79,43,127.6,24.92,1761.0,2026,2,15,6,1,7,1,20.533333333333335,Diesel,0,2.0416948889750395,-2.0416948889750395,2.0416948889750395,Sin retraso,Retraso leve
7.38,17,428.56,24.48,3516.8,2026,7,6,0,0,28,3,18.683333333333334,Diesel,0,34.78544125026171,-34.78544125026171,34.78544125026171,Sin retraso,Retraso alto
0.81,48,153.21,25.2,1731.05,2026,1,15,3,0,3,1,9.283333333333333,Gasolina,39,6.193047116030751,32.806952883969245,32.806952883969245,Retraso alto,Retraso leve
1.05,67,365.72,24.93,2969.6,2026,1,1,3,0,1,1,19.333333333333332,Diesel,0,25.620712030303523,-25.620712030303523,25.620712030303523,Sin retraso,Retraso moderado
1.21,3,64.06,25.16,965.3,2026,4,10,4,0,15,2,17.45,Gasolina,0,16.75986568014023,-16.75986568014023,16.75986568014023,Sin retraso,Retraso moderado
5.47,46,119.34,25.3,2011.7,2026,3,31,1,0,14,1,17.033333333333335,Diesel,0,17.362045438268353,-17.362045438268353,17.362045438268353,Sin retraso,Retraso moderado
1.59,11,426.05,23.64,2877.25,2026,3,16,0,0,12,1,6.3,Gasolina,79,7.9111810874273365,71.08881891257266,71.08881891257266,Retraso crítico,Retraso leve
0.62,63,237.95,25.1,2255.75,2026,7,12,6,1,28,3,14.533333333333333,Diesel,0,1.0572913488051223,-1.0572913488051223,1.0572913488051223,Sin retraso,Retraso leve
1.22,43,467.97,24.32,3305.85,2026,1,22,3,0,4,1,20.283333333333335,Gasolina,0,7.03350537814428,-7.03350537814428,7.03350537814428,Sin retraso,Retraso leve
0.95,31,422.46,26.32,2955.3,2026,4,1,2,0,14,2,8.516666666666667,Diesel,0,16.023558971823483,-16.023558971823483,16.023558971823483,Sin retraso,Retraso moderado
2.23,58,186.89,25.31,2121.45,2026,2,2,0,0,6,1,20.6,Diesel,0,1.6867123390512595,-1.6867123390512595,1.6867123390512595,Sin retraso,Retraso leve
