id_vehiculo,numero_economico,placas,marca,modelo,anio,tipo,capacidad_toneladas,kilometraje_actual,rendimiento_km_l,consumo_promedio,fecha_adquisicion,ultima_revision,proxima_revision,nivel_riesgo,estatus
1,V-001,ABC-101,Nissan,2023,2025,Van,1.75,238171.43,10.36,24.16,2025-01-01,2026-03-08,2026-09-26,Bajo,En ruta
2,V-002,ABC-102,Nissan,2019,2018,Tráiler,17.34,47438.68,4.96,31.39,2018-01-01,2026-03-03,2026-10-13,Medio,Disponible
3,V-003,ABC-103,Kenworth,2018,2025,Torton,12.21,179937.42,4.66,34.19,2025-01-01,2026-01-24,2026-09-14,Bajo,Mantenimiento
4,V-004,ABC-104,Volkswagen,2025,2022,Van,2.66,60961.39,5.95,12.95,2022-01-01,2026-05-22,2026-11-13,Bajo,Mantenimiento
5,V-005,ABC-105,Volkswagen,2025,2023,Tráiler,19.56,135941.54,7.96,15.86,2023-01-01,2026-03-11,2026-09-17,Bajo,Disponible
6,V-006,ABC-106,Volkswagen,2019,2021,Camioneta,1.53,43478.53,6.84,17.89,2021-01-01,2026-07-10,2026-11-15,Bajo,Disponible
7,V-007,ABC-107,Mercedes-Benz,2022,2025,Van,1.91,198442.23,6.1,21.88,2025-01-01,2026-01-26,2026-08-19,Bajo,Disponible
8,V-008,ABC-108,Mercedes-Benz,2018,2020,Camión,6.37,21148.1,9.36,12.6,2020-01-01,2026-07-01,2026-11-14,Bajo,En ruta
9,V-009,ABC-109,Mercedes-Benz,2020,2018,Camioneta,0.88,237732.53,12.23,29.83,2018-01-01,2026-06-13,2026-11-03,Bajo,Disponible
10,V-010,ABC-110,Kenworth,2025,2022,Tráiler,19.57,33441.31,9.97,19.88,2022-01-01,2026-04-23,2026-09-26,Bajo,Disponible
11,V-011,ABC-111,Chevrolet,2019,2025,Camión,4.49,128842.46,4.78,32.55,2025-01-01,2026-04-13,2026-11-03,Bajo,Disponible
12,V-012,ABC-112,Mercedes-Benz,2019,2020,Van,1.52,169005.35,6.99,22.04,2020-01-01,2026-03-05,2026-07-31,Alto,Mantenimiento
13,V-013,ABC-113,Isuzu,2025,2021,Tráiler,23.2,54365.07,12.26,28.93,2021-01-01,2026-04-24,2026-09-15,Alto,Mantenimiento
14,V-014,ABC-114,Chevrolet,2021,2018,Camión,7.76,224758.56,9.28,32.89,2018-01-01,2026-06-10,2026-08-24,Bajo,Disponible
15,V-015,ABC-115,Toyota,2019,2021,Van,1.18,57035.89,4.86,16.78,2021-01-01,2026-02-10,2026-07-01,Medio,Mantenimiento
16,V-016,ABC-116,Mercedes-Benz,2018,2025,Tráiler,20.83,75123.77,11.13,17.63,2025-01-01,2026-03-01,2026-09-12,Bajo,Mantenimiento
17,V-017,ABC-117,Mercedes-Benz,2021,2021,Camioneta,1.14,140247.06,5.63,29.66,2021-01-01,2026-04-19,2026-07-30,Alto,Disponible
18,V-018,ABC-118,Toyota,2019,2022,Van,1.15,246852.86,10.68,13.37,2022-01-01,2026-01-16,2026-08-12,Bajo,En ruta
19,V-019,ABC-119,Kenworth,2022,2019,Torton,8.04,205710.74,10.15,27.68,2019-01-01,2026-06-29,2026-10-12,Bajo,Mantenimiento
20,V-020,ABC-120,Ford,2024,2019,Torton,13.4,27770.72,7.37,11.13,2019-01-01,2026-07-08,2026-09-21,Alto,En ruta
21,V-021,ABC-121,Nissan,2018,2019,Camioneta,1.84,159591.55,7.15,9.72,2019-01-01,2026-07-15,2026-12-20,Bajo,Disponible
22,V-022,ABC-122,Kenworth,2022,2025,Van,1.62,88044.0,10.34,25.21,2025-01-01,2026-02-16,2026-11-27,Medio,Mantenimiento
23,V-023,ABC-123,Volkswagen,2024,2025,Camioneta,1.86,123331.58,5.46,27.26,2025-01-01,2026-03-27,2026-09-21,Bajo,Disponible
24,V-024,ABC-124,Kenworth,2022,2024,Camión,7.04,144706.53,10.67,21.33,2024-01-01,2026-06-19,2026-10-11,Alto,Disponible
25,V-025,ABC-125,Volkswagen,2022,2019,Torton,11.66,112609.84,4.7,10.91,2019-01-01,2026-03-24,2026-07-30,Medio,Disponible
26,V-026,ABC-126,Isuzu,2018,2025,Tráiler,15.47,162738.5,7.01,21.73,2025-01-01,2026-02-18,2026-11-10,Bajo,Mantenimiento
27,V-027,ABC-127,Nissan,2022,2018,Torton,14.35,69830.13,7.78,28.4,2018-01-01,2026-05-21,2026-08-03,Bajo,Mantenimiento
28,V-028,ABC-128,Ford,2021,2019,Torton,9.6,28475.18,6.82,12.35,2019-01-01,2026-07-01,2026-08-10,Bajo,Disponible
29,V-029,ABC-129,Chevrolet,2021,2024,Tráiler,28.95,203948.89,9.57,31.53,2024-01-01,2026-01-30,2026-10-27,Bajo,Disponible
